# Phonetic series according to 上古音系 (Old Chinese Phonology), by 鄭張尚芳 (Shangfang Zhengzhang), 2003.
# Downloaded from https://en.wiktionary.org/wiki/Wiktionary:About_Chinese/phonetic_series and /phonetic_series_2
component,IPA,members
今,(*krɯm),貪嗿僋酓馠谽唅含肣頷筨梒鋡莟琀浛盦韽玪妗欦黔鈐鳹雂念梣枔岑笒涔侺今黅衿衾坅搇琴禽芩庈耹靲擒檎紟吟訡廞陰霠飲蔭廕矜
介,(*kreːds),妎芥尬界介疥玠砎魪价衸齘骱扴圿忦
仌,(*pŋrɯŋ),冫冰砅馮憑
从,(*zloŋ),摐鏦豵嵸蓯蹤縱樅磫熧瘲暰瑽從从慫聳傱
付,(*pos),鉜跗柎腑俯府付咐怤泭姇紨拊弣符苻坿腐附駙鮒袝蚹胕
令,(*ren),令怜零魿命冷跉嶺領阾柃袊詅旍舲齡囹鴒蛉鈴苓伶泠瓴拎刢玲聆竛軨笭翎閝鹷昤駖彾呤狑秢岭紷砱羚姈蕶澪
以,(*lɯʔ),似姒耜佀以苡苢
伏,(*bɯɡs),絥伏垘茯洑栿
伐,(*bad),茷筏伐閥垡栰
休,(*qʰu),茠烋恘休貅咻庥鵂髤髹
余,(*la),斜茶荼梌搽塗佘賒畬舍捨騇涻稌悇庩捈途酴駼鵌涂嵞峹筡蒤徐俆敘漵除篨滁蒢蜍鵨瑹余餘艅狳雓悆
佩,(*bɯːs),佩珮
佾,(*lɯd),洕佾屑榍糏
侃,(*kʰaːnʔ),諐侃偘
來,(*m·rɯːɡ),來萊淶徠崍郲騋猍鯠鶆庲棶斄逨麳唻賚睞勑誺倈憖猌麥
侖,(*run),蜦綸論崘掄菕惀睔碖溣倫淪輪侖陯鯩棆踚耣錀
侯,(*ɡoː),緱侯喉猴瘊篌糇帿睺矦餱翭葔鄇鍭鯸候堠
侵,(*sʰim),鋟綅祲埐梫濅浸侵駸寢寑薓
便,(*ben),鞭鯾箯便緶楩
保,(*puːʔ),襃保堡褓堢緥葆賲宲椺
俞,(*l̥ʰus),褕偷媮鍮緰牏揄窬歈俞隃毹輸鄃腧逾榆愉渝瑜蕍覦蝓踰崳羭堬瘉萮騟愈貐喻諭
倉,(*sʰaːŋ),艙倉蒼滄傖鶬凔槍搶蹌瑲牄嗆創瘡愴鎗
倝,(*kaːns),乾漧倝榦韓鶾翰瀚螒雗斡
備,(*brɯɡs),憊韛備俻鞴糒犕
僉,(*skʰlam),厱歛臉醶鹼薟匳獫蘞籢斂瀲撿羷殮簽僉憸譣檢瞼儉顩嬐嶮噞驗險劒劍𩏩
兀,(*ŋuːd),虺豗鼿虫髡軏扤兀杌屼矹
允,(*lunʔ),唆梭葰誜朘捘荾酸狻痠鋑脧悛吮萒沇抁馻兖渷兗焌允狁玧俊晙餕畯駿竣皴逡踆夋埈陖鵕浚峻
元,(*ŋon),冠莞脘筦梡岏刓园忨蚖黿抏玩貦翫妧完捖垸綄院皖晥浣頑睆鯇元沅芫杬邧阮俒
兄,(*hmraŋ),怳況貺况兄
充,(*l̥ʰjuŋ),統充珫茺銃
兆,(*l'ewʔ),挑洮桃逃咷鼗鞉駣𣂁脁晁兆旐狣鮡垗姚珧銚恌烑餆筄艞佻祧朓庣趒聎眺覜頫絩跳窕誂
先,(*sɯːn),洗先銑跣毨姺筅冼箲駪兟詵侁
光,(*kʷaːŋ),光灮洸桄胱垙輄恍茪侊晃幌榥滉觥駫
克,(*kʰɯːɡ),克剋勊
兌,(*l'oːds),毤蛻娧駾裞兌綐銳帨稅說涚䫄脫侻挩莌梲鮵敓痥悅閱
免,(*mronʔ),免娩勉俛鮸冕絻婏浼鞔悗嬎晚挽輓脕莬
兒,(*ŋeː),掜誽倪蜺霓郳齯婗輗棿猊麑貎鯢兒觬堄晲睨唲隉鶂鬩
兓,(*sl'ɯm),簪撍鐕憯噆朁蠶蚕糣熸鬵灊潛僭兓嶜兂譖
兔,(*tʰaːs),菟兔鵵梚
兜,(*toː),兜篼
兢,(*kɯŋ),兢殑
內,(*nuːbs),妠內笍芮枘汭鈉蜹抐納衲魶軜蒳豽肭吶焫訥
全,(*zlon),拴栓跧痊詮荃銓筌輇硂佺駩絟恮峑全仝牷
兩,(*raŋʔ),倆兩脼緉蜽魎輛
八,(*preːd),扒八𩡩朳玐釟汃
公,(*kloːŋ),慃袞衮蔉滚忩鬆凇公蚣翁螉蓊嗡滃暡勜塕瓮崧菘硹淞蜙倯松訟頌忪彸衳伀妐炂鈆
六,(*ruɡ),六圥
兮,(*ɢeː),盻兮枍
共,(*kloŋ),港巷衖鬨烘洪鉷谼葓哄蕻恭供龔珙共髸拱拲蛬栱輁舼輂
兵,(*praŋ),浜捠兵
其,(*kɯ),基箕朞稘萁期諅其錤諆欺娸魌僛唭棋旗淇祺琪騏綦麒蜞綨蜝棊碁鯕踑藄櫀璂禥惎帺
具,(*ɡos),俱椇具埧颶
典,(*tɯːnʔ),典錪腆痶淟琠賟晪
兹,(*ʔsɯ),糍茲滋孳嵫嗞鎡鰦鶿稵螆慈鷀磁礠濨
兼,(*keːm),譧賺尲鹻歉槏鰜稴豏甉廉鎌鬑鐮簾薕蠊嬚溓嵰隒熑濂燫兼縑鶼蒹搛謙膁嗛慊傔馦嫌鼸尷
冀,(*krɯls),冀驥懻
冃,(*muːɡs),媢冃冒帽瑁賵艒萺勗勖
冉,(*njam),那挪娜柟抩聃舑坍髯蚺呥冉袡苒姌
冊,(*sʰreːɡ),栅冊笧
冋,(*kʷeːŋ),苘詗駉坰冋絅扃炯迥泂
再,(*ʔsɯːs),再洅
冎,(*kroːlʔ),碢腡過渦鍋楇瘑緺堝濄鐹薖簻禍窩萵檛膼蝸媧騧冎剮諣歄咼喎
冓,(*koː),溝篝鞲韝褠冓構購媾覯遘煹搆講耩傋斠
冖,(*meːɡ),冟冖冪羃濗鼏
冗,(*njoŋʔ),宂冗
冘,(*lu),冘抌狖貁耽眈酖妉黕衴瓭馾髧紞鈂沈沉枕莐霃鴆訦忱邥魫
冡,(*moːŋ),蒙冡濛艨朦矇饛檬鸏幪蠓靀曚
冤,(*qon),冤蒬
冥,(*meːŋ),瞑嫇慏冥榠鄍溟螟猽蓂覭暝幎幂塓
冬,(*tuːŋ),疼冬苳笗炵佟鼕鉖終螽鼨柊鴤泈蔠
几,(*krilʔ),肌飢机虮几麂
凡,(*bom),嵐葻釩汎凡帆颿軓梵芃風飌楓猦偑檒瘋諷堸渢鳳
凶,(*qʰoŋ),酗凶匈兇訩胸胷洶恟詾
凷,(*kʰuːds),凷屆
出,(*kʰljuds),聉贅祟出茁欪貀袦咄柮拙炪掘鈯啒淈窟泏堀胐窋絀黜屈趉鶌詘倔崛
函,(*ɡuːm),蜬函涵顄圅菡
刀,(*taːw),刀忉鱽舠朷叨倒到菿鞀鳭灱菬超怊欩召昭招鉊沼照詔炤弨眧韶佋軺玿柖紹袑綤邵劭卲刁芀貂蛁迢苕髫岧
刃,(*njɯns),涊紉忍荵刃認仞軔韌肕牣杒訒
刅,(*sʰraŋ),梁粱刱
分,(*pɯn),扮盼頒朌鳻份汃玢邠攽砏貧湓盆葐坌坋分吩粉黺芬紛衯棻氛雰忿魵汾羒枌棼妢梤馚鼢蚡弅秎
列,(*red),例鮤栵洌銐峛列裂烈冽迾蛚茢颲鴷挒姴
删,(*sraːn),珊跚姗删栅
利,(*rids),犁黎莉黧鯬筣蔾藜邌瓈鵹棃梨蟍蜊鑗利痢浰
别,(*pred),捌哵別莂
制,(*kjeds),制淛製掣痸猘
刷,(*sroːd),涮刷
則,(*ʔsɯːɡ),廁則賊鰂鱡蠈側萴測惻崱
剌,(*raːd),莿鵣辣辢剌揧瘌楋蝲
前,(*zleːn),媊煎湔鬋剪翦譾揃箭葥前騚歬
力,(*rɯɡ),勒肋扐仂艻朸玏泐阞竻力屴鳨
加,(*kraːl),妿賀迦茄伽枷嘉加笳痂袈跏珈鴐架駕瘸
劦,(*ɦleːb),栛珕荔脅姭搚拹愶嗋熁協勰劦叶
劫,(*kab),劫蜐
勞,(*raːw),勞撈嘮癆簩蟧憥澇僗髝膋犖
勹,(*pruː),袍袌軳抱勽菢勹包胞苞枹飽泡炮皰疱跑咆庖匏刨狍炰鉋瓟颮鞄鮑骲玸雹窇
勺,(*pljewɢ),豹趵尥箹杓約扚釣瘹芍酌灼勺彴犳妁汋仢葯礿肑瓝的靮馰玓魡
勿,(*mɯd),脗吻刎伆勽沕忽昒惚匫笏曶淴物勿芴岉
匀,,枃笉郇絢眴盷訇迿姰畇荀詢洵恂峋珣槆筍箰旬殉徇侚均鈞袀汮呁筠荺匀韵輷揈鍧渹赹憌惸咰
匊,(*kluɡ),菊鞠掬匊鵴椈諊踘趜蘜鞫巈麴毱驧
匋,(*bl'uː),掏蜪陶萄啕淘騊匋祹綯
匕,(*pilʔ),匕庀疕朼牝
化,(*hŋʷraːls),訛吪鈋囮魤靴貨花化杹匕
北,(*pɯːɡ),背鄁偝邶苝北
匘,(*nuːʔ),腦惱瑙匘碯硇𣳦
匚,(*paŋ),匚匠
匹,(*pʰid),匹鴄
医,(*qiːs),鷖翳嫛黳繄医嫕蘙瞖殹贀醫毉蠮
匿,(*nɯɡ),暱慝匿
區,(*qoː),摳彄剾謳歐區鷗甌漚瞘嘔櫙膒蓲醧鏂毆塸貙樞驅軀嶇鰸敺傴嫗饇
十,(*ɡjub),針汁卙十什
卂,(*sins),汛軐卂訊訙迅阠扟籸蝨
升,(*hljɯŋ),升昇陞抍
午,(*ŋaːʔ),卸汻滸午仵旿忤迕杵籞蘌篽禦許御
卉,(*hmɯlʔ),卉芔泋
半,(*paːns),半絆靽姅拌拚坢判泮頖胖冸牉柈伴叛畔袢
卑,(*pe),捭牌郫蠯猈稗粺𥱼豍箄錍睥渒鼙鞞椑崥髀卑鵯裨痺碑婢諀脾埤陴蜱焷螷庳琕萆綼
卒,(*ʔsuːd),晬祽綷淬啐倅焠碎誶濢噿臎醉翠悴萃瘁顇粹睟賥卒稡猝椊捽崪窣崒踤錊
卓,(*rteːwɢ),悼淖罩鵫趠踔棹鋽掉逴焯綽婥繛卓桌倬啅晫
南,(*nuːm),南楠腩湳揇萳罱喃諵
卜,(*poːɡ),仆赴訃朴圤卜鳪扑攴
卞,(*brons),汴卞忭抃犿笇飰
占,(*ʔljem),頕煔炶詀站檆黏粘枮霑沾覘鉆占颭佔苫痁蛅阽敁掂點玷店坫黇扂拈鮎砧笘跕貼帖怗呫
卬,(*ŋaːŋ),卬枊昂仰迎
卯,(*mruːʔ),卯昴泖茆奅窌聊貿鄮劉留蒥鶹騮榴瑠瘤遛鎦飀鰡嵧餾瀏懰柳珋罶嬼溜霤廇塯
印,(*qiŋs),印鮣
危,(*ŋrol),鮠峞頠詭垝陒觤恑蛫祪洈姽桅佹跪危峗硊卼
即,(*ʔsɯɡ),卪癤幯節蝍蠞堲唧楖揤櫛瀄擳即鯽
卵,(*ɡ·roːlʔ),卵關関聯
卷,(*ɡron),腃卷菤捲埢睠弮犈棬鬈圈蜷踡婘蔨倦淃綣裷
厂,(*hŋaːnʔ),厂屵
原,(*ŋʷan),羱豲謜縓原源厵嫄騵榞獂蒝願傆愿
厶,(*sil),私厶
厷,(*kʷɯːŋ),肱宏閎吰竑谹翃紘鈜浤耾雄
去,(*kʰaʔ),佉呿抾弆祛袪阹胠魼去麮鼁砝劫鉣蜐怯
厽,(*rolʔ),絫厽垒
參,(*sʰluːm),篸參驂傪慘黲謲毿蔘犙糝槮鬖摻醦縿穇嵾磣墋曑瘮滲
又,(*ɢʷɯs),絠醢珛栯有友右宥囿侑酭姷又佑祐賄蛕烠倄鮪洧痏郁戫哊
叉,(*sʰraːl),叉杈靫汊衩扠釵芆訍
