# Frequency list from Netflix subtitles (80,000 documents) shared here: https://www.youtube.com/watch?v=DwJWld8hW0M	﻿# Frequency list from Netflix subtitles (80,000 documents) shared here: https://www.youtube.com/watch?v=DwJWld8hW0M
# Readings (second column) were added using pykakasi
の	ノ
変身	ヘンシン
商売	ショウバイ
商品	ショウヒン
次元	ジゲン
にゃ	ニャ
ハン	ハン
世の中	ヨノナカ
勝者	ショウシャ
医療	イリョウ
緊急	キンキュウ
発言	ハツゲン
クール	クール
地図	チズ
追跡	ツイセキ
真面目	マジメ
果たす	ハタス
そら	ソラ
合格	ゴウカク
サンタ	サンタ
見張る	ミハル
ご覧	ゴラン
救急車	キュウキュウシャ
変態	ヘンタイ
ただし	タダシ
ウー	ウー
映る	ウツル
思いつく	オモイツク
ふさわしい	フサワシイ
自由に	ジユウニ
ナ	ナ
スコット	スコット
今でも	イマデモ
殺し	コロシ
どんなに	ドンナニ
別れ	ワカレ
王妃	オウヒ
家庭	カテイ
空く	アク
はん	ハン
暮らし	クラシ
祖母	ソボ
不要	フヨウ
支援	シエン
騎士	キシ
無実	ムジツ
ダニー	ダニー
恐竜	キョウリュウ
チキン	チキン
魔力	マリョク
安定	アンテイ
休憩	キュウケイ
モー	モー
帰り	カエリ
エリカ	エリカ
ほんとに	ホントニ
割れる	ワレル
天国	テンゴク
展開	テンカイ
派	ハ
言	ゲン
黒子	クロコ
誰でも	ダレデモ
計算	ケイサン
買える	カエル
李	スモモ
食料	ショクリョウ
ゆき	ユキ
喜び	ヨロコビ
勝手に	カッテニ
おごる	オゴル
狭い	セマイ
草	クサ
診る	ミル
飲み物	ノミモノ
大志	タイシ
嬢さん	ジョウサン
登る	ノボル
秘書	ヒショ
鉄	テツ
カレン	カレン
ライアン	ライアン
両方	リョウホウ
教室	キョウシツ
たく	タク
お菓子	オカシ
琴子	コンコ
プール	プール
がん	ガン
ソウル	ソウル
拒否	キョヒ
折れる	オレル
本部	ホンブ
救える	スクエル
返せる	カエセル
うなり声	ウナリコエ
普段	フダン
牙	キバ
休暇	キュウカ
官	カン
イベント	イベント
引っ張る	ヒッパル
英国	エイコク
回収	カイシュウ
用件	ヨウケン
投票	トウヒョウ
美雪	ミユキ
魅力	ミリョク
トラ	トラ
移る	ウツル
理想	リソウ
艦隊	カンタイ
バカげる	バカゲル
専門家	センモンカ
放送	ホウソウ
資金	シキン
既に	スデニ
ツアー	ツアー
バイバイ	バイバイ
冒険	ボウケン
単純	タンジュン
宝	タカラ
亀	カメ
逃す	ノガス
流れ	ナガレ
及ぶ	オヨブ
証人	ショウニン
材料	ザイリョウ
チャック	チャック
機能	キノウ
すっごい	スッゴイ
出番	デバン
審査員	シンサイン
助言	ジョゲン
チョン	チョン
いたい	イタイ
もしか	モシカ
校長	コウチョウ
豚	ブタ
乱	ラン
吉田	ヨシダ
フフ	フフ
フランキー	フランキー
カリフォルニア	カリフォルニア
パイ	パイ
手下	テシタ
確保	カクホ
一気に	イッキニ
悔しい	クヤシイ
閉じ込める	トジコメル
谷	タニ
実現	ジツゲン
巨人	キョジン
神父	シンプ
かる	カル
囚人	シュウジン
友情	ユウジョウ
生き残る	イキノコル
ひとり	ヒトリ
痛む	イタム
出来事	デキゴト
らっしゃる	ラッシャル
ものすごい	モノスゴイ
リック	リック
演じる	エンジル
接触	セッショク
まく	マク
もんか	モンカ
魔王	マオウ
ゆ	ユ
住民	ジュウミン
肌	ハダ
外れる	ハズレル
線	セン
ハグ	ハグ
驚き	オドロキ
サービス	サービス
下ろす	クダロス
岡部	オカベ
皿	サラ
オーナー	オーナー
きく	キク
解く	トク
資格	シカク
しずか	シズカ
親しい	シタシイ
スタジオ	スタジオ
カエル	カエル
世間	セケン
やれやれ	ヤレヤレ
出血	シュッケツ
俳優	ハイユウ
使用	シヨウ
ケイト	ケイト
利	リ
太る	フトル
譲る	ユズル
ないし	ナイシ
ジャンプ	ジャンプ
入院	ニュウイン
けい	ケイ
はな	ハナ
大樹	タイジュ
愚か	オロカ
スリー	スリー
汗	アセ
タイム	タイム
ジミー	ジミー
段階	ダンカイ
獣	ケモノ
見逃す	ミノガス
仁	ヒトシ
刃	ハ
脱落	ダツラク
我	ワレ
まあまあ	マアマア
術	ジュツ
ミシェル	ミシェル
戸	コ
チャイム	チャイム
業界	ギョウカイ
えい	エイ
組員	クミイン
ビックリ	ビックリ
おそい	オソイ
なくす	ナクス
対処	タイショ
湖	ミズウミ
内緒	ナイショ
あ～	ア～
この辺	コノヘン
親切	シンセツ
オフィス	オフィス
半年	ハントシ
はじめまして	ハジメマシテ
まくる	マクル
むしろ	ムシロ
なのです	ナノデス
ブタ	ブタ
プログラム	プログラム
ハチ	ハチ
よー	ヨー
カップル	カップル
不幸	フコウ
惑星	ワクセイ
狩り	カリ
シャッター	シャッター
世界一	セカイイチ
タカ	タカ
じっと	ジット
艦	カン
預かる	アズカル
きり	キリ
懐かしい	ナツカシイ
つね	ツネ
呪い	ノロイ
女優	ジョユウ
シュート	シュート
に関する	ニカンスル
ホッ	ホッ
造	ゾウ
素敵	ステキ
縁	ヘリ
割る	ワル
やる気	ヤルキ
深刻	シンコク
犯罪者	ハンザイシャ
そこから	ソコカラ
込める	コメル
用事	ヨウジ
加藤	カトウ
それにしても	ソレニシテモ
光る	ヒカル
大げさ	オオゲサ
職場	ショクバ
スタイル	スタイル
ラジオ	ラジオ
空間	クウカン
衝突	ショウトツ
ほえる	ホエル
おば	オバ
ベスト	ベスト
待機	タイキ
知識	チシキ
リスク	リスク
パソコン	パソコン
みりん	ミリン
利益	リエキ
惜しい	オシイ
表情	ヒョウジョウ
詳しく	クワシク
いただける	イタダケル
懸ける	カケル
青い	アオイ
知れる	シレル
出ろ	デロ
特定	トクテイ
姉妹	シマイ
テープ	テープ
誰か	ダレカ
投資	トウシ
情熱	ジョウネツ
仕掛ける	シカケル
同然	ドウゼン
落ち込む	オチコム
らん	ラン
カール	カール
薫	カオル
祝う	イワウ
処分	ショブン
守れる	マモレル
タマ	タマ
慌てる	アワテル
ダニエル	ダニエル
際	キワ
寝室	シンシツ
藤	フジ
キャンプ	キャンプ
チン	チン
突っ込む	ツッコム
陽	ヨウ
魅力的	ミリョクテキ
ヘンリー	ヘンリー
ダイアナ	ダイアナ
郡	グン
作	サク
弥勒	ミロク
泳ぐ	オヨグ
ふーん	フーン
選挙	センキョ
学	ガク
ぼう	ボウ
ウソつき	ウソツキ
処理	ショリ
じゃう	ジャウ
風邪	カゼ
ルイス	ルイス
無い	ナイ
もはや	モハヤ
笑い	ワライ
ブラ	ブラ
まえる	マエル
ヘビ	ヘビ
菜	ナ
タン	タン
かねる	カネル
よくも	ヨクモ
味わう	アジワウ
寅	トラ
マル	マル
宿題	シュクダイ
殺せる	コロセル
屋敷	ヤシキ
しょ	ショ
先週	センシュウ
時半	ジハン
たろう	タロウ
植物	ショクブツ
アンナ	アンナ
文字	モジ
皇帝	コウテイ
クレア	クレア
キツ	キツ
クッキー	クッキー
温かい	オンカイ
一切	イッサイ
襲撃	シュウゲキ
ロバート	ロバート
大尉	タイイ
ごはん	ゴハン
さようなら	サヨウナラ
行方不明	ユクエフメイ
エマ	エマ
アダム	アダム
ウサギ	ウサギ
ジュリアン	ジュリアン
獲物	エモノ
モンスター	モンスター
主人	シュジン
名誉	メイヨ
カイ	カイ
お父様	オトウサマ
そちら	ソチラ
崎	サキ
感染	カンセン
署	ショ
休み	ヤスミ
習う	ナラウ
青葉	アオバ
うえ	ウエ
数える	カゾエル
セル	セル
今田	イマダ
獲得	カクトク
ライン	ライン
食らう	クラウ
頼り	タヨリ
たっぷり	タップリ
ピアノ	ピアノ
シーズン	シーズン
皮	カワ
表	オモテ
従業員	ジュウギョウイン
そのよう	ソノヨウ
悲しみ	カナシミ
麻	アサ
サル	サル
飾る	カザル
ある日	アルニチ
シャツ	シャツ
ボー	ボー
雷	カミナリ
疑問	ギモン
生命	セイメイ
数字	スウジ
お別れ	オワカレ
土	ツチ
治す	ナオス
悩み	ナヤミ
載せる	ノセル
がれ	ガレ
よす	ヨス
パブ	パブ
娘さん	ムスメサン
避難	ヒナン
げん	ゲン
個人的	コジンテキ
悪党	アクトウ
めい	メイ
意思	イシ
今さら	イマサラ
松本	マツモト
載る	ノル
賞	ショウ
下着	シタギ
辛い	ツライ
吹く	フク
素直	スナオ
コード	コード
出会い	デアイ
ざわめき	ザワメキ
中心	チュウシン
あく	アク
刺激	シゲキ
誕生	タンジョウ
リリー	リリー
接近	セッキン
桜	サクラ
かまう	カマウ
だいぶ	ダイブ
飛	ヒ
恨む	ウラム
グリーン	グリーン
釈放	シャクホウ
ヘリ	ヘリ
派手	ハデ
ウイルス	ウイルス
着ける	ツケル
バスケ	バスケ
石田	イシダ
奴隷	ドレイ
かれる	カレル
牧師	ボクシ
詩	シ
ウワサ	ウワサ
血圧	ケツアツ
クイーン	クイーン
保証	ホショウ
同意	ドウイ
国家	コッカ
マネージャー	マネージャー
巻く	マク
賞金	ショウキン
おっさん	オッサン
規則	キソク
この間	コノカン
咲	サキ
九	キュウ
雑誌	ザッシ
悪夢	アクム
ドラッグ	ドラッグ
再会	サイカイ
課題	カダイ
ガ	ガ
本来	ホンライ
勇敢	ユウカン
手配	テハイ
列車	レッシャ
混ぜる	マゼル
奈落	ナラク
霧	キリ
飼う	カウ
パック	パック
りゅう	リュウ
上原	ウエハラ
副	フク
選択肢	センタクシ
無関係	ムカンケイ
公	コウ
応答	オウトウ
飽きる	アキル
決勝	ケッショウ
給料	キュウリョウ
被害	ヒガイ
症状	ショウジョウ
飛ばす	トバス
プレー	プレー
伏せる	フセル
無	ム
しつこい	シツコイ
へっ	ヘッ
堂	ドウ
役目	ヤクメ
メモ	メモ
祖父	ソフ
やく	ヤク
負う	オウ
偉い	エライ
恵	メグミ
音声	オンセイ
エース	エース
ハメ	ハメ
双子	フタゴ
砂	スナ
幻	マボロシ
確信	カクシン
バック	バック
毎年	マイトシ
午前	ゴゼン
さらす	サラス
器	ウツワ
ゲスト	ゲスト
ハー	ハー
パイロット	パイロット
児	ジ
課	カ
トミー	トミー
ジュース	ジュース
エミリー	エミリー
プロデューサー	プロデューサー
沙子	サコ
あいさつ	アイサツ
こむ	コム
悲しむ	カナシム
少なくとも	スクナクトモ
押さえる	オサエル
捕らえる	トラエル
由	ユ
学園	ガクエン
引っ越す	ヒッコス
護衛	ゴエイ
助手	ジョシュ
えむ	エム
灰	ハイ
連続	レンゾク
いむ	イム
佐	サ
王国	オウコク
蓮	ハス
ウチ	ウチ
贈る	オクル
上条	カミジョウ
嬉しい	ウレシイ
女房	ニョウボウ
沈む	シズム
キッチン	キッチン
ウフッ	ウフッ
トランクス	トランクス
両	リョウ
一族	イチゾク
わずか	ワズカ
結衣	ケツコロモ
グレン	グレン
司令官	シレイカン
もともと	モトモト
全国	ゼンコク
テロ	テロ
夜中	ヨナカ
ファ	ファ
土方	ドカタ
ものか	モノカ
動揺	ドウヨウ
手遅れ	テオクレ
たす	タス
バリー	バリー
勝	カチ
せずに	セズニ
美咲	ビサキ
ローズ	ローズ
囲む	カコム
年齢	ネンレイ
積む	ツム
ワープ	ワープ
トニー	トニー
モン	モン
整理	セイリ
諸君	ショクン
付き	ツキ
伝統	デントウ
やり直す	ヤリナオス
一度も	イチドモ
法律	ホウリツ
ギャング	ギャング
感	カン
追加	ツイカ
アナウンサー	アナウンサー
長年	ナガネン
昼	ヒル
爆破	バクハ
貴重	キチョウ
だり	ダリ
市場	シジョウ
成績	セイセキ
解除	カイジョ
メシ	メシ
包む	ツツム
報酬	ホウシュウ
飲める	ノメル
ビッグ	ビッグ
引退	インタイ
教わる	オシワル
歩ける	アルケル
強力	キョウリョク
マット	マット
墓	ハカ
入江	イリエ
毛	ケ
闘う	タタカウ
切	セツ
ヒゲ	ヒゲ
伸ばす	ノバス
外出	ガイシュツ
適当	テキトウ
更に	サラニ
署名	ショメイ
探偵	タンテイ
アナウンス	アナウンス
キャプテン	キャプテン
桂	カツラ
ジョーク	ジョーク
意志	イシ
違法	イホウ
リチャード	リチャード
エドワード	エドワード
犯	ハン
新人	シンジン
狼	オオカミ
絆	キズナ
ブライアン	ブライアン
ヤク	ヤク
建てる	タテル
りょう	リョウ
死者	シシャ
ページ	ページ
達也	タツヤ
けども	ケドモ
サプライズ	サプライズ
広げる	ヒロゲル
謝罪	シャザイ
都合	ツゴウ
キャラ	キャラ
ホイッスル	ホイッスル
しまる	シマル
エリザベス	エリザベス
ラウンド	ラウンド
各	カク
課長	カチョウ
警備員	ケイビイン
おーい	オーイ
わい	ワイ
問う	トウ
おもい	オモイ
底	ソコ
コール	コール
士郎	シロウ
帝国	テイコク
電車	デンシャ
あまりに	アマリニ
事業	ジギョウ
対象	タイショウ
泉	イズミ
署長	ショチョウ
ビリー	ビリー
悠	ユウ
蔵	クラ
パーセント	パーセント
戦場	センジョウ
サイ	サイ
今や	イマヤ
大麻	タイマ
オヤジ	オヤジ
店長	テンチョウ
無線	ムセン
職員	ショクイン
見つめる	ミツメル
そのもの	ソノモノ
ってな	ッテナ
砂糖	サトウ
かつ	カツ
兵器	ヘイキ
仙人	センニン
権力	ケンリョク
警戒	ケイカイ
において	ニオイテ
クリア	クリア
移す	ウツス
メス	メス
企業	キギョウ
店主	テンシュ
速度	ソクド
手伝い	テツダイ
ゆり	ユリ
儀式	ギシキ
菜緒	ナオ
ローマ	ローマ
今週	コンシュウ
ごらん	ゴラン
地面	ジメン
含む	フクム
修行	シュギョウ
わり	ワリ
目玉	メダマ
集団	シュウダン
あい	アイ
チビ	チビ
縛る	シバル
面会	メンカイ
もたらす	モタラス
主任	シュニン
長官	チョウカン
実家	ジッカ
詳細	ショウサイ
合図	アイズ
挑む	イドム
故障	コショウ
調整	チョウセイ
ドット	ドット
お邪魔	オジャマ
じい	ジイ
経営	ケイエイ
阻止	ソシ
保安官	ホアンカン
警察官	ケイサツカン
鳴子	ナルコ
攻める	セメル
燃やす	モヤス
実行	ジッコウ
火事	カジ
ズボン	ズボン
わる	ワル
間違いなく	マチガイナク
あむ	アム
同情	ドウジョウ
和	ワ
闘士	トウシ
アパート	アパート
腐る	クサル
サイト	サイト
小野田	オノダ
コート	コート
トラブル	トラブル
度目	ドメ
生まれ	ウマレ
アップ	アップ
ラッキー	ラッキー
黄金	オウゴン
そのうち	ソノウチ
マキ	マキ
制服	セイフク
翼	ツバサ
追いつく	オイツク
クルー	クルー
ローリー	ローリー
勢い	イキオイ
座	ザ
老人	ロウジン
やむ	ヤム
ホンマ	ホンマ
今頃	イマゴロ
からかう	カラカウ
困難	コンナン
面接	メンセツ
果たして	ハタシテ
枝	エダ
説明し	セツメイシ
ノリ	ノリ
ベイビー	ベイビー
レベッカ	レベッカ
油断	ユダン
再	サイ
ふり	フリ
レオ	レオ
暴れる	アバレル
処刑	ショケイ
掘る	ホル
芝居	シバイ
保つ	タモツ
モノ	モノ
おびえる	オビエル
大切に	タイセツニ
正常	セイジョウ
裏切り者	ウラギリモノ
設定	セッテイ
開閉	カイヘイ
主役	シュヤク
きゅう	キュウ
並ぶ	ナラブ
字	ジ
だいじょうぶ	ダイジョウブ
おじ	オジ
個人	コジン
満ちる	ミチル
メガネ	メガネ
婚約	コンヤク
ヨ	ヨ
ジュン	ジュン
つつ	ツツ
世代	セダイ
築く	キヅク
おまえ	オマエ
ベイ	ベイ
小僧	コゾウ
えらい	エライ
対策	タイサク
あきらめる	アキラメル
だし	ダシ
ロー	ロー
下す	クダス
感想	カンソウ
かなえる	カナエル
別人	ベツジン
地区	チク
くだらない	クダラナイ
失望	シツボウ
依頼人	イライニン
顧客	コキャク
いったい	イッタイ
チケット	チケット
悲劇	ヒゲキ
指紋	シモン
活躍	カツヤク
ボート	ボート
伸びる	ノビル
ほれる	ホレル
也	ヤ
お断り	オコトワリ
倉庫	ソウコ
話しかける	ハナシカケル
一家	イッカ
おと	オト
そうやって	ソウヤッテ
今泉	イマイズミ
増やす	フヤス
見かける	ミカケル
物音	モノオト
じゅう	ジュウ
エサ	エサ
メイン	メイン
犯行	ハンコウ
進化	シンカ
カレー	カレー
ご苦労	ゴクロウ
瞬	シュン
親子	オヤコ
弾く	ヒク
法廷	ホウテイ
お風呂	オフロ
とっと	トット
ボビー	ボビー
ライバル	ライバル
あう	アウ
興味深い	キョウミブカイ
現金	ゲンキン
光希	ミキ
見守る	ミマモル
責任者	セキニンシャ
サメ	サメ
中央	チュウオウ
忠告	チュウコク
苦しみ	クルシミ
カナダ	カナダ
無用	ムヨウ
続いて	ツヅイテ
覚ます	サマス
人殺し	ヒトゴロシ
ギター	ギター
章	ショウ
油	アブラ
イケメン	イケメン
優先	ユウセン
一生懸命	イッショウケンメイ
お楽しみ	オタノシミ
ユダヤ人	ユダヤニン
争う	アラソウ
偉そう	エラソウ
盛り上がる	モリアガル
予感	ヨカン
デザート	デザート
建設	ケンセツ
ナイス	ナイス
同感	ドウカン
女神	メガミ
棒	ボウ
気持ちいい	キモチイイ
芸術	ゲイジュツ
ハウス	ハウス
ばっか	バッカ
手がかり	テガカリ
おかしな	オカシナ
こわい	コワイ
フラ	フラ
交代	コウタイ
珊瑚	サンゴ
六	ロク
球	タマ
色々	イロイロ
なめる	ナメル
陽子	ヨウコ
シカゴ	シカゴ
ベルト	ベルト
公開	コウカイ
舌	シタ
出口	デグチ
大きさ	オオキサ
食材	ショクザイ
高級	コウキュウ
犠牲者	ギセイシャ
科学者	カガクシャ
防ぐ	フセグ
済み	スミ
奇妙	キミョウ
帰す	カエス
海外	カイガイ
突入	トツニュウ
級	キュウ
生き物	イキモノ
ある人	アルニン
ジュリア	ジュリア
放せる	ハナセル
ついで	ツイデ
わたくし	ワタクシ
ぶつ	ブツ
愛情	アイジョウ
ごとし	ゴトシ
オー	オー
職人	ショクニン
大地	ダイチ
大将	タイショウ
セイバー	セイバー
義務	ギム
バランス	バランス
アウト	アウト
どる	ドル
みな	ミナ
敬意	ケイイ
正式	セイシキ
追って	オッテ
山田	ヤマダ
なお	ナオ
ワクワク	ワクワク
復帰	フッキ
希	マレ
ピンク	ピンク
批判	ヒハン
筋肉	キンニク
預ける	アズケル
に関して	ニカンシテ
小説	ショウセツ
ケリー	ケリー
意外と	イガイト
死ねる	シネル
えーっ	エーッ
机	ツクエ
焼ける	ヤケル
造る	ツクル
ゆく	ユク
拒む	コバム
よお	ヨオ
再生	サイセイ
汚れる	ヨゴレル
震える	フルエル
王女	オウジョ
マリー	マリー
メアリー	メアリー
覚める	サメル
拘束	コウソク
解ける	トケル
逆らう	サカラウ
住人	ジュウニン
崩れる	クズレル
チップ	チップ
詰まる	ツマル
輝	テル
リアル	リアル
同様	ドウヨウ
オーストラリア	オーストラリア
きっかけ	キッカケ
フィールド	フィールド
憎む	ニクム
つまらない	ツマラナイ
やって来る	ヤッテクル
業者	ギョウシャ
指導	シドウ
逃げ出す	ニゲダス
酸素	サンソ
チャールズ	チャールズ
小野	オノ
書ける	カケル
夕	ユウ
ほんの	ホンノ
レイプ	レイプ
退院	タイイン
祝福	シュクフク
お帰り	オカエリ
台なし	ダイナシ
師	シ
ハンナ	ハンナ
ワナ	ワナ
林	ハヤシ
先日	センジツ
うまる	ウマル
きん	キン
餌	エサ
拷問	ゴウモン
マーティン	マーティン
チャップ	チャップ
崩壊	ホウカイ
ばん	バン
厄介	ヤッカイ
きちんと	キチント
くさい	クサイ
以下	イカ
知らず	シラズ
情けない	ナサケナイ
リング	リング
妃	キサキ
己	オノレ
支持	シジ
生き延びる	イキノビル
予算	ヨサン
評判	ヒョウバン
単なる	タンナル
釣り	ツリ
リオ	リオ
お姉さん	オネエサン
審査	シンサ
新鮮	シンセン
ドキドキ	ドキドキ
非難	ヒナン
大物	オオモノ
雄二	ユウジ
ご両親	ゴリョウシン
ごちそう	ゴチソウ
スペイン	スペイン
プライド	プライド
れい	レイ
待	タイ
わぁ	ワァ
大石	オオイシ
薄い	ウスイ
ファイル	ファイル
不足	フソク
再現	サイゲン
政	マツリゴト
つかまる	ツカマル
寄付	キフ
続けて	ツヅケテ
アルバム	アルバム
仮面	カメン
録音	ロクオン
その間	ソノカン
抜き	ヌキ
ハリー	ハリー
企画	キカク
命じる	メイジル
決着	ケッチャク
親分	オヤブン
リード	リード
恨み	ウラミ
リス	リス
待ち	マチ
交際	コウサイ
滑る	スベル
フォード	フォード
じん	ジン
鍛える	キタエル
始めて	ハジメテ
つう	ツウ
ミルク	ミルク
もったいない	モッタイナイ
七宝	シッポウ
呼び出す	ヨビダス
未央	ミオ
アーティスト	アーティスト
毎回	マイカイ
シ	シ
愛しい	イトシイ
ゆうべ	ユウベ
アンディ	アンディ
カギ	カギ
転ぶ	コロブ
争い	アラソイ
原	ハラ
隙	ゲキ
ここだ	ココダ
どころか	ドコロカ
アフリカ	アフリカ
かぎり	カギリ
コピー	コピー
副長	フクチョウ
貼る	ハル
弟子	デシ
ごく	ゴク
煙	ケムリ
アメリカ人	アメリカニン
ビーチ	ビーチ
役割	ヤクワリ
財布	サイフ
イン	イン
創	ソウ
ウケる	ウケル
まじ	マジ
損傷	ソンショウ
喪	モ
いじめる	イジメル
ライオン	ライオン
屋根	ヤネ
嫁	ヨメ
いっしょ	イッショ
ガラス	ガラス
クロ	クロ
ともかく	トモカク
ピーターパン	ピーターパン
印	イン
叩く	タタク
書	カキ
ジャッキー	ジャッキー
おそらく	オソラク
失踪	シッソウ
中学	チュウガク
変わり	カワリ
報告書	ホウコクショ
ランド	ランド
高校生	コウコウセイ
侮辱	ブジョク
マスク	マスク
道路	ドウロ
ラーメン	ラーメン
ドライブ	ドライブ
もしも	モシモ
恐れ	オソレ
ダサい	ダサイ
博	ヒロシ
都	ミヤコ
真ん中	マンナカ
セント	セント
履く	ハク
化け物	バケモノ
容疑	ヨウギ
結論	ケツロン
いえる	イエル
そん	ソン
成果	セイカ
持ち主	モチヌシ
留守	ルス
総	ソウ
国王	コクオウ
牧場	ボクジョウ
周囲	シュウイ
渡せる	ワタセル
スタン	スタン
トランプ	トランプ
無意味	ムイミ
お母様	オハハサマ
シールド	シールド
パンチ	パンチ
替える	カエル
苦しめる	クルシメル
母上	ハハウエ
ちなみに	チナミニ
ワシ	ワシ
病	ビョウ
ヘン	ヘン
マスコミ	マスコミ
体力	タイリョク
通常	ツウジョウ
レント	レント
初日	ショニチ
卿	キョウ
オブ	オブ
営業	エイギョウ
始め	ハジメ
あかね	アカネ
トシ	トシ
はるか	ハルカ
鳴らす	ナラス
あきる	アキル
トド	トド
それほど	ソレホド
ヒント	ヒント
出産	シュッサン
反省	ハンセイ
あかり	アカリ
どうにか	ドウニカ
ペン	ペン
牛乳	ギュウニュウ
寺	テラ
株	カブ
フウ	フウ
指揮	シキ
済ませる	スマセル
爪	ツメ
ギルド	ギルド
大臣	ダイジン
殺る	サツル
テニス	テニス
保険	ホケン
合流	ゴウリュウ
細胞	サイボウ
かばう	カバウ
ライ	ライ
秋元	アキモト
ルイ	ルイ
行き先	イキサキ
鋭い	スルドイ
汚す	ヨゴス
尋問	ジンモン
ブラジル	ブラジル
リンゴ	リンゴ
疑い	ウタガイ
カフェ	カフェ
体重	タイジュウ
稼げる	カセゲル
ボケ	ボケ
モニカ	モニカ
何とも	ナントモ
障害	ショウガイ
ユー	ユー
離せる	ハナセル
戦車	センシャ
ファイト	ファイト
ルーシー	ルーシー
出場	シュツジョウ
生意気	ナマイキ
アニメ	アニメ
戦える	タタカエル
取り	トリ
有罪	ユウザイ
アーチャー	アーチャー
田	タ
都市	トシ
かっこいい	カッコイイ
研究所	ケンキュウショ
ゴメン	ゴメン
ピッタリ	ピッタリ
応じる	オウジル
館	カン
南部	ナンブ
違反	イハン
軍人	グンジン
伺う	ウカガウ
筋	スジ
ビン	ビン
潮	シオ
やら	ヤラ
息子さん	ムスコサン
脅威	キョウイ
不	フ
嗅ぐ	カグ
策	サク
マジック	マジック
憧れる	アコガレル
本心	ホンシン
良	リョウ
港	ミナト
ブレア	ブレア
暴行	ボウコウ
表す	アラワス
見失う	ミウシナウ
この辺り	コノアタリ
宣伝	センデン
罠	ワナ
誠	マコト
回転	カイテン
食堂	ショクドウ
ブラウン	ブラウン
ゆえ	ユエ
スる	スル
勧める	ススメル
戦略	センリャク
象徴	ショウチョウ
ゴム	ゴム
嫌がる	イヤガル
宅	タク
柄	ガラ
高橋	タカハシ
ホワイト	ホワイト
マシン	マシン
あなた方	アナタホウ
悪化	アッカ
ナナ	ナナ
継ぐ	ツグ
体調	タイチョウ
パ	パ
固い	カタイ
瞳	ヒトミ
おしゃべり	オシャベリ
仲直り	ナカナオリ
閉鎖	ヘイサ
再開	サイカイ
妨害	ボウガイ
ラブ	ラブ
呪文	ジュモン
折る	オル
日本人	ニホンジン
救出	キュウシュツ
設置	セッチ
オオカミ	オオカミ
維持	イジ
じいさん	ジイサン
久しぶりに	ヒサシブリニ
宣言	センゲン
血液	ケツエキ
ところが	トコロガ
ハンター	ハンター
余	ヨ
好	コウ
条	ジョウ
やったら	ヤッタラ
渚	ナギサ
知	チ
輪	ワ
あきれる	アキレル
入り口	イリグチ
ローラ	ローラ
４つ	４ツ
やねん	ヤネン
軍隊	グンタイ
とっくに	トックニ
特徴	トクチョウ
ペニス	ペニス
支払い	シハライ
機関	キカン
こだわる	コダワル
毎晩	マイバン
エロ	エロ
コカイン	コカイン
栗田	クリタ
砂漠	サバク
ボーイ	ボーイ
背負う	セオウ
坂道	サカミチ
専門	センモン
帰国	キコク
お気に	オキニ
ナイト	ナイト
吾郎	ワレロウ
首相	シュショウ
ぶん	ブン
淳	アツシ
まっすぐ	マッスグ
お許し	オユルシ
幹部	カンブ
年寄り	トシヨリ
いかん	イカン
バトル	バトル
全身	ゼンシン
突き止める	ツキヤメル
日記	ニッキ
記念	キネン
お任せ	オマカセ
ぶつける	ブツケル
印象	インショウ
無料	ムリョウ
リラックス	リラックス
外見	ガイケン
プロポーズ	プロポーズ
太川	タカワ
根	ネ
申し上げる	モウシアゲル
絶望	ゼツボウ
婚約者	コンヤクシャ
明久	メイキュウ
バター	バター
妄想	モウソウ
景色	ケシキ
うた	ウタ
くたばる	クタバル
肉体	ニクタイ
ジャクソン	ジャクソン
倒せる	タオセル
ごちそうさま	ゴチソウサマ
やっつける	ヤッツケル
入手	ニュウシュ
目撃者	モクゲキシャ
葬式	ソウシキ
お呼び	オヨビ
生き返る	イキカエル
ポケット	ポケット
キレ	キレ
小屋	コヤ
思い出せる	オモイダセル
そんなもの	ソンナモノ
神経	シンケイ
基本	キホン
っちゅう	ッチュウ
投稿	トウコウ
明	メイ
針	ハリ
関心	カンシン
ペット	ペット
ワシントン	ワシントン
優れる	マサレル
感心	カンシン
シャー	シャー
説教	セッキョウ
なす	ナス
クリーム	クリーム
カバン	カバン
使い	ツカイ
アンド	アンド
お袋	オフクロ
プラン	プラン
待った	マッタ
猿	サル
紗	サ
ふく	フク
掛ける	カケル
賭け	カケ
農場	ノウジョウ
オス	オス
ブレーキ	ブレーキ
兄ちゃん	ニイチャン
沙織	サオリ
来年	ライネン
至る	イタル
エレベーター	エレベーター
飛び出す	トビダス
畑	ハタケ
ヨーロッパ	ヨーロッパ
立ち上がる	タチアガル
ぬう	ヌウ
家賃	ヤチン
氷河	ヒョウガ
花火	ハナビ
バルト	バルト
気まずい	キマズイ
跡	アト
銃撃	ジュウゲキ
把握	ハアク
多	タ
少々	ショウショウ
議論	ギロン
ラップ	ラップ
含める	フクメル
越す	コス
下野	シモツケ
花嫁	ハナヨメ
委員会	イインカイ
コン	コン
ブリッジ	ブリッジ
偽物	ニセモノ
名乗る	ナノル
大騒ぎ	オオサワギ
おもちゃ	オモチャ
ホン	ホン
通	トオリ
さらう	サラウ
独身	ドクシン
皆様	ミナサマ
重ねる	カサネル
